City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
179,port elizabeth,-33.918,25.5701,13.16,76,0,2.57,ZA,1681342579
180,kosa,59.9445,54.9977,0.05,98,100,1.8,RU,1681342580
181,aginskoye,51.1,114.53,2.85,51,40,1.24,RU,1681342580
182,puerto ayora,-0.7393,-90.3518,28.64,82,81,2.24,EC,1681342581
183,camacha,33.0833,-16.3333,15.68,67,20,2.06,PT,1681342581
184,ancud,-41.8697,-73.8203,11.23,81,100,2.05,CL,1681342581
185,bosaso,11.2842,49.1816,28.71,66,85,1.84,SO,1681342582
186,porto novo,6.4965,2.6036,28.9,80,64,3.36,BJ,1681342582
187,khandyga,62.6667,135.6,-2.12,90,91,1.38,RU,1681342582
188,saint george,37.1041,-113.5841,26.33,17,0,10.29,US,1681342370
189,san rafael,-34.6177,-68.3301,13.64,55,100,5.49,AR,1681342118
190,kirakira,-10.4544,161.9205,28.22,72,21,1.97,SB,1681342583
191,kruisfontein,-34.0033,24.7314,12.56,74,86,2.51,ZA,1681342583
192,kupang,-10.1667,123.5833,27.32,89,20,1.03,ID,1681342583
193,ponnani,10.767,75.9252,26.62,86,8,1.69,IN,1681342583
194,bihoro,43.8228,144.1044,8.15,31,40,5.66,JP,1681342584
195,lagoa,39.05,-27.9833,15.26,89,61,3.64,PT,1681342584
196,najran,17.4924,44.1277,24.36,52,9,2.11,SA,1681342584
197,lezajsk,50.2626,22.4193,5.37,94,22,1.03,PL,1681342584
198,los teques,10.3445,-67.0433,19.32,67,100,0.87,VE,1681342585
199,kendari,-3.945,122.4989,26.82,87,79,0.52,ID,1681342585
200,alice springs,-23.7,133.8833,22.75,40,100,6.69,AU,1681342585
201,mangit,40.5971,70.9607,16.37,59,56,0.32,UZ,1681342586
202,ust-tsilma,65.441,52.1498,-20.87,94,4,2.74,RU,1681342586
203,comodoro rivadavia,-45.8667,-67.5,4.92,48,0,2.57,AR,1681342587
204,noumea,-22.2763,166.4572,29.99,99,100,1.82,NC,1681342165
205,tuatapere,-46.1333,167.6833,11.51,98,100,1.39,NZ,1681342587
206,pisco,-13.7,-76.2167,25.03,73,81,8.23,PE,1681342503
207,iqaluit,63.7506,-68.5145,-8.15,67,75,3.6,CA,1681342588
208,tonantins,-2.8731,-67.8022,24.61,95,77,0.65,BR,1681342588
209,corinth,37.9407,22.9573,14.38,69,2,2.27,GR,1681342588
210,venado tuerto,-33.7456,-61.9688,14.03,86,100,2.15,AR,1681342589
211,anloga,5.7947,0.8973,27.06,84,35,2.34,GH,1681342589
212,pasni,25.2631,63.471,24.85,75,1,4.29,PK,1681342589
213,waterloo,43.4668,-80.5164,23.93,38,0,6.17,CA,1681342406
214,luderitz,-26.6481,15.1594,14.15,87,58,5.48,NA,1681342590
215,talnakh,69.4865,88.3972,-25.34,95,100,2.85,RU,1681342591
216,saldanha,-33.0117,17.9442,15.03,79,100,1.84,ZA,1681342592
217,beringovskiy,63.05,179.3167,-15.89,84,75,5.44,RU,1681342592
218,kahului,20.8947,-156.47,29.01,58,20,9.77,US,1681342592
219,leningradskiy,69.3833,178.4167,-17.35,90,98,3.14,RU,1681342593
220,fonte boa,-2.4959,-66.2662,24.07,97,99,1.28,BR,1681342593
221,plettenberg bay,-34.0527,23.3716,12.51,68,90,1.73,ZA,1681342593
222,olafsvik,64.8945,-23.7142,2.58,76,100,2.73,IS,1681342593
223,isla vista,34.4133,-119.861,18.52,87,100,0.0,US,1681342302
224,katobu,-4.9408,122.5276,27.09,84,62,1.66,ID,1681342594
225,bayangol,50.6977,103.4656,-6.77,61,100,2.77,RU,1681342594
226,ardmore,34.1743,-97.1436,23.88,40,0,5.66,US,1681342594
227,coahuayana,18.7333,-103.6833,27.05,52,100,2.48,MX,1681342594
228,hami,42.8,93.45,7.89,28,3,2.22,CN,1681342594
229,new ulm,44.3125,-94.4605,31.21,25,0,5.66,US,1681342594
230,clyde river,70.4692,-68.5914,-13.87,78,100,12.35,CA,1681342595
231,waiouru,-39.4833,175.6667,17.34,52,10,1.61,NZ,1681342595
232,yumbe,3.4651,31.2469,20.58,82,47,1.71,UG,1681342595
233,shasta lake,40.6804,-122.3708,18.12,21,20,1.79,US,1681342393
234,slavonski brod,45.1603,18.0156,8.54,63,79,0.49,HR,1681342595
235,laela,-8.5667,32.05,15.65,93,100,1.11,TZ,1681342595
236,timbiqui,2.7717,-77.6654,27.63,78,93,2.52,CO,1681342595
237,ben tre,10.2333,106.3833,27.13,80,83,1.62,VN,1681342389
238,chenzhou,25.8,113.0333,23.23,82,0,1.58,CN,1681342596
239,faanui,-16.4833,-151.75,28.2,68,31,3.9,PF,1681342596
240,gikongoro,-2.464,29.5739,12.9,92,86,1.12,RW,1681342596
241,torbay,47.6666,-52.7314,0.88,91,100,5.14,CA,1681342596
242,sandy bay,-42.913,147.3532,15.72,87,40,2.06,AU,1681342501
243,charters towers,-20.1,146.2667,29.3,52,81,3.77,AU,1681342596
244,mao,39.8885,4.2658,14.31,67,0,11.32,ES,1681342597
245,saint-georges,12.0564,-61.7485,25.82,78,20,6.17,GD,1681342597
246,isangel,-19.55,169.2667,29.36,67,14,2.8,VU,1681342452
247,jind,29.3167,76.3167,23.98,25,23,2.57,IN,1681342597
248,fare,-16.7,-151.0167,27.99,69,12,3.25,PF,1681342597
249,quatre cocos,-20.2078,57.7625,25.06,84,56,2.63,MU,1681342597
250,rio grande,-32.035,-52.0986,21.06,97,97,2.39,BR,1681342598
251,guiren,33.6697,118.1889,14.89,48,72,5.59,CN,1681342598
252,maanshan,31.6957,118.4983,16.03,50,100,3.94,CN,1681342598
253,benguela,-12.5763,13.4055,26.76,80,100,3.41,AO,1681342598
254,sivaki,52.6333,126.75,-1.02,64,100,4.39,RU,1681342598
255,pamanukan,-6.2842,107.8106,25.7,87,100,1.15,ID,1681342598
